date,discipline,hippodrome,numcourse,partants,distance,prono1,prono2,prono3,prono4,prono5,prono6,prono7,prono8,a1,rapport,si_a1_dans_pronos,race_id
2023-01-08,trot,Vincennes,C4,16.0,2100.0,7.0,4.0,9.0,10.0,2.0,12.0,8.0,11.0,2.0,10.1,1.0,2023-01-08_Vincennes_C4
2023-01-09,trot,Vincennes,C1,15.0,2100.0,14.0,5.0,6.0,11.0,4.0,8.0,13.0,7.0,14.0,4.7,1.0,2023-01-09_Vincennes_C1
2023-01-10,trot,Vincennes,C1,16.0,2850.0,12.0,15.0,8.0,13.0,4.0,11.0,9.0,6.0,3.0,16.5,0.0,2023-01-10_Vincennes_C1
2023-01-11,galop,Pau,C2,16.0,4000.0,9.0,2.0,1.0,5.0,4.0,6.0,10.0,16.0,14.0,46.6,0.0,2023-01-11_Pau_C2
2023-01-12,trot,Cagnes,C1,16.0,2900.0,1.0,6.0,10.0,12.0,14.0,8.0,4.0,9.0,1.0,2.9,1.0,2023-01-12_Cagnes_C1
2023-01-13,galop,Deauville,C8,16.0,1900.0,1.0,3.0,6.0,7.0,16.0,9.0,11.0,8.0,6.0,7.1,1.0,2023-01-13_Deauville_C8
2023-01-14,trot,Vincennes,C4,15.0,2850.0,14.0,15.0,10.0,12.0,3.0,7.0,13.0,8.0,14.0,1.6,1.0,2023-01-14_Vincennes_C4
2023-01-15,trot,Vincennes,C4,18.0,2850.0,6.0,13.0,11.0,15.0,2.0,7.0,12.0,3.0,2.0,9.0,1.0,2023-01-15_Vincennes_C4
2023-01-16,galop,Cagnes,C2,16.0,2150.0,10.0,12.0,6.0,15.0,9.0,4.0,3.0,2.0,6.0,5.9,1.0,2023-01-16_Cagnes_C2
2023-01-17,trot,Vincennes,C2,16.0,2150.0,12.0,9.0,4.0,5.0,14.0,3.0,16.0,11.0,12.0,6.4,1.0,2023-01-17_Vincennes_C2
2023-01-18,galop,Cagnes,C4,16.0,2150.0,9.0,6.0,3.0,5.0,2.0,1.0,4.0,10.0,2.0,7.9,1.0,2023-01-18_Cagnes_C4
2023-01-19,trot,Vincennes,C1,16.0,2700.0,11.0,16.0,15.0,10.0,7.0,9.0,5.0,4.0,7.0,10.1,1.0,2023-01-19_Vincennes_C1
2023-01-20,galop,Deauville,C8,16.0,2500.0,3.0,10.0,8.0,2.0,4.0,15.0,16.0,1.0,11.0,47.0,0.0,2023-01-20_Deauville_C8
2023-01-21,trot,Vincennes,C4,16.0,2850.0,1.0,9.0,7.0,5.0,3.0,8.0,16.0,15.0,7.0,4.0,1.0,2023-01-21_Vincennes_C4
2023-01-22,trot,Vincennes,C4,18.0,2700.0,18.0,14.0,10.0,9.0,8.0,16.0,6.0,15.0,18.0,3.6,1.0,2023-01-22_Vincennes_C4
2023-01-23,galop,Cagnes,C2,16.0,1500.0,6.0,8.0,14.0,15.0,1.0,3.0,2.0,10.0,15.0,7.7,1.0,2023-01-23_Cagnes_C2
2023-01-24,trot,Cagnes,C4,15.0,2925.0,13.0,7.0,6.0,9.0,12.0,8.0,10.0,11.0,12.0,8.3,1.0,2023-01-24_Cagnes_C4
2023-01-25,galop,Pau,C2,16.0,3800.0,3.0,14.0,8.0,12.0,5.0,13.0,1.0,7.0,13.0,8.5,1.0,2023-01-25_Pau_C2
2023-01-26,trot,Vincennes,C1,16.0,2850.0,5.0,9.0,3.0,15.0,8.0,14.0,12.0,2.0,3.0,5.8,1.0,2023-01-26_Vincennes_C1
2023-01-27,galop,Deauville,C7,16.0,1500.0,3.0,13.0,10.0,2.0,4.0,1.0,8.0,15.0,9.0,15.0,0.0,2023-01-27_Deauville_C7
2023-01-28,trot,Vincennes,C4,16.0,2100.0,4.0,7.0,5.0,6.0,9.0,14.0,16.0,1.0,7.0,2.3,1.0,2023-01-28_Vincennes_C4
2023-01-29,trot,Vincennes,C7,18.0,2700.0,6.0,2.0,14.0,9.0,4.0,3.0,8.0,1.0,9.0,8.5,1.0,2023-01-29_Vincennes_C7
2023-01-30,trot,Vincennes,C1,15.0,2850.0,13.0,5.0,2.0,8.0,9.0,4.0,11.0,6.0,9.0,12.0,1.0,2023-01-30_Vincennes_C1
2023-01-31,galop,Cagnes,C2,16.0,1500.0,8.0,1.0,7.0,4.0,5.0,3.0,9.0,10.0,15.0,11.0,0.0,2023-01-31_Cagnes_C2
2023-02-01,galop,Pau,C5,14.0,4000.0,2.0,1.0,4.0,6.0,8.0,3.0,9.0,5.0,8.0,10.0,1.0,2023-02-01_Pau_C5
2023-02-02,trot,Vincennes,C1,15.0,2850.0,13.0,15.0,5.0,7.0,3.0,9.0,1.0,2.0,7.0,8.5,1.0,2023-02-02_Vincennes_C1
2023-02-03,trot,Vincennes,C7,16.0,2850.0,10.0,8.0,12.0,11.0,13.0,7.0,9.0,4.0,8.0,8.9,1.0,2023-02-03_Vincennes_C7
2023-02-04,galop,Deauville,C3,16.0,1900.0,1.0,9.0,8.0,4.0,5.0,12.0,2.0,7.0,4.0,10.7,1.0,2023-02-04_Deauville_C3
2023-02-05,trot,Vincennes,C4,13.0,2175.0,13.0,9.0,11.0,6.0,7.0,4.0,5.0,10.0,9.0,8.3,1.0,2023-02-05_Vincennes_C4
2023-02-06,trot,Vincennes,C1,15.0,2700.0,8.0,4.0,1.0,13.0,3.0,15.0,5.0,6.0,13.0,6.4,1.0,2023-02-06_Vincennes_C1
2023-02-07,galop,Cagnes,C4,16.0,2500.0,4.0,7.0,6.0,11.0,14.0,15.0,9.0,5.0,4.0,3.6,1.0,2023-02-07_Cagnes_C4
